ts_code,name,price
002248.SZ,华东数控,7.744999999999999
002249.SZ,大洋电机,4.005
002250.SZ,联化科技,12.760000000000002
002251.SZ,步步高,7.37
002252.SZ,上海莱士,8.41
002253.SZ,川大智胜,14.335
002254.SZ,泰和新材,10.899999999999999
002255.SZ,海陆重工,3.935
002256.SZ,兆新股份,3.025
002258.SZ,利尔化学,12.2
002259.SZ,*ST升达,2.045
002261.SZ,拓维信息,5.41
002262.SZ,恩华药业,12.67
002263.SZ,*ST东南,1.85
002264.SZ,新华都,4.95
002265.SZ,西仪股份,10.774999999999999
002266.SZ,浙富控股,4.91
002267.SZ,陕天然气,6.995
002268.SZ,卫士通,28.475
002269.SZ,美邦服饰,2.235
002270.SZ,华明装备,5.265000000000001
002271.SZ,东方雨虹,20.325
002272.SZ,川润股份,4.734999999999999
002273.SZ,水晶光电,12.035
002274.SZ,华昌化工,6.609999999999999
002275.SZ,桂林三金,13.605
002276.SZ,万马股份,5.46
002277.SZ,友阿股份,3.1950000000000003
002278.SZ,神开股份,6.01
002279.SZ,久其软件,6.470000000000001
002280.SZ,联络互动,3.4
002281.SZ,光迅科技,28.479999999999997
002282.SZ,博深股份,0.0
002283.SZ,天润曲轴,3.745
002284.SZ,亚太股份,4.765000000000001
002285.SZ,世联行,4.03
002286.SZ,保龄宝,5.92
002287.SZ,奇正藏药,20.955
002288.SZ,超华科技,4.67
002289.SZ,*ST宇顺,7.220000000000001
002290.SZ,*ST中科,4.78
002291.SZ,星期六,5.17
002292.SZ,奥飞娱乐,6.3100000000000005
002293.SZ,罗莱生活,9.23
002294.SZ,信立泰,22.064999999999998
002295.SZ,精艺股份,7.550000000000001
002296.SZ,辉煌科技,6.555
002297.SZ,博云新材,7.62
002298.SZ,中电兴发,7.105
002299.SZ,圣农发展,27.520000000000003
002300.SZ,太阳电缆,7.015000000000001
002301.SZ,齐心集团,11.219999999999999
002302.SZ,西部建设,10.545
002303.SZ,美盈森,4.68
002305.SZ,南国置业,2.25
002306.SZ,ST云网,2.71
002307.SZ,北新路桥,5.775
002308.SZ,威创股份,4.4
002309.SZ,中利集团,6.83
002310.SZ,东方园林,5.130000000000001
002312.SZ,三泰控股,4.164999999999999
002313.SZ,日海智能,17.725
002314.SZ,南山控股,3.21
002315.SZ,焦点科技,17.38
002316.SZ,亚联发展,8.254999999999999
002317.SZ,众生药业,11.120000000000001
002318.SZ,久立特材,7.35
002319.SZ,乐通股份,10.615
002320.SZ,海峡股份,8.08
002321.SZ,华英农业,6.265000000000001
